Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3437,04-Aug-23,Area Sales Manager,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,26-01-1964,IN,Female,Other,Single,Fully Meets,5,15-10-2022,3,2,5,20-Oct-22,Technical Skills,Internal,Failed,1,455.68,59
3438,10-Aug-18,Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,06-04-1948,GA,Female,Asian,Married,Fully Meets,3,28-10-2022,4,2,5,05-Oct-22,Technical Skills,Internal,Failed,2,208.17,70
3439,25-May-22,Area Sales Manager,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,24-11-1981,CO,Male,Other,Single,Fully Meets,3,30-10-2022,1,2,5,09-Mar-23,Technical Skills,External,Incomplete,1,421.07,41
3440,05-Dec-19,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,06-11-1951,KY,Female,White,Divorced,Fully Meets,3,24-09-2022,1,4,5,29-May-23,Communication Skills,External,Failed,1,649.03,68
3441,28-Apr-19,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,21-11-1989,NV,Male,Asian,Widowed,Exceeds,4,30-10-2022,4,2,5,08-Jan-23,Project Management,Internal,Passed,4,450.2,30
3442,09-Jul-19,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,24-11-1952,MA,Male,Black,Single,Exceeds,2,31-10-2022,2,5,3,06-Mar-23,Project Management,External,Failed,4,286.87,67
3443,05-Apr-21,Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,08-04-1994,KY,Male,Asian,Widowed,Fully Meets,3,29-04-2023,2,2,4,18-Feb-23,Technical Skills,External,Failed,3,402.13,27
3444,28-Nov-21,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,15-11-1983,KY,Male,Other,Widowed,Fully Meets,3,14-12-2022,1,2,4,02-Nov-22,Technical Skills,External,Failed,2,388.84,38
3445,16-Jan-21,Area Sales Manager,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,07-12-1985,KY,Female,Other,Married,Exceeds,4,07-05-2023,4,5,2,14-Jul-23,Project Management,External,Completed,2,879.64,36
3446,24-Aug-21,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,01-05-1996,TX,Female,White,Divorced,Exceeds,2,21-05-2023,4,3,5,11-Dec-22,Technical Skills,Internal,Failed,5,701.13,25
3450,01-Sep-20,Area Sales Manager,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,11-08-1994,CO,Male,Other,Single,Exceeds,2,18-01-2023,4,3,5,12-Jan-23,Technical Skills,Internal,Completed,4,186.07,26
3451,18-Feb-21,Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,15-01-1968,CO,Male,Other,Divorced,Exceeds,3,29-04-2023,5,1,2,22-Mar-23,Technical Skills,External,Completed,1,921.97,53
3452,08-Nov-22,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,07-01-1947,IN,Male,Black,Divorced,Fully Meets,2,19-01-2023,5,5,2,13-Sep-22,Customer Service,Internal,Failed,1,691.04,75
3453,13-Oct-22,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,07-04-1982,MA,Male,White,Widowed,Fully Meets,4,17-09-2022,5,5,3,25-Aug-22,Customer Service,External,Completed,5,964.44,40
3454,11-Sep-22,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,29-01-1970,KY,Male,Hispanic,Married,Needs Improvement,4,14-03-2023,4,4,2,07-Feb-23,Communication Skills,Internal,Passed,3,184.9,52
3455,29-Jun-21,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,18-01-1999,KY,Male,Other,Widowed,Exceeds,4,12-08-2022,2,1,1,17-Mar-23,Project Management,External,Passed,1,220.41,22
3456,06-Mar-23,Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,25-09-1946,KY,Female,Black,Divorced,Fully Meets,3,30-03-2023,4,3,4,08-Jun-23,Technical Skills,External,Passed,2,336.82,77
3457,25-Sep-20,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,23-08-1947,KY,Female,White,Divorced,Needs Improvement,3,21-04-2023,5,1,4,15-Apr-23,Customer Service,External,Completed,4,485.73,73
3460,19-Feb-20,Area Sales Manager,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,10-02-1944,TX,Male,Asian,Married,Fully Meets,3,16-11-2022,4,3,3,08-Jul-23,Communication Skills,External,Incomplete,5,919.52,76
3462,13-Sep-18,Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,09-08-1942,CO,Male,Hispanic,Divorced,Needs Improvement,3,08-11-2022,3,3,1,19-Jul-23,Project Management,External,Completed,1,320.01,76
3463,30-Apr-20,Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,21-06-1951,IN,Male,Hispanic,Single,Fully Meets,1,18-09-2022,4,3,4,29-Aug-22,Technical Skills,Internal,Incomplete,4,926.19,69
3464,03-Dec-18,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),17-06-1998,MA,Male,Black,Widowed,Needs Improvement,5,29-12-2022,2,5,3,13-Nov-22,Customer Service,External,Passed,2,290.47,20
3465,08-Nov-21,Area Sales Manager,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,07-01-1962,MA,Male,Asian,Divorced,Needs Improvement,3,19-05-2023,5,4,3,04-Jun-23,Communication Skills,External,Incomplete,1,706.1,59
3466,13-Apr-22,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,26-01-1979,KY,Male,Other,Married,Exceeds,4,04-08-2023,1,3,4,07-Dec-22,Customer Service,External,Passed,3,447.66,43
3467,06-May-20,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,14-05-1987,KY,Female,Asian,Divorced,Exceeds,1,27-06-2023,4,3,2,24-Feb-23,Technical Skills,Internal,Incomplete,1,759.7,33
3468,09-Sep-19,Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,26-04-1998,KY,Female,Black,Single,Fully Meets,4,05-02-2023,3,1,3,10-May-23,Customer Service,Internal,Completed,3,180.63,21
3471,29-Feb-20,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,03-01-1967,TX,Male,Asian,Married,Fully Meets,4,30-04-2023,2,4,1,23-Mar-23,Customer Service,External,Passed,3,109.98,53
3472,15-Jan-23,Area Sales Manager,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,12-01-1982,TX,Male,Other,Married,Exceeds,4,26-07-2023,5,5,4,12-Feb-23,Technical Skills,External,Completed,5,537.24,41
3473,29-Jun-23,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),01-10-1950,CO,Male,Hispanic,Widowed,Exceeds,2,28-06-2023,3,4,4,06-Dec-22,Communication Skills,External,Failed,5,789.99,73
3474,09-Mar-20,Area Sales Manager,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,16-12-1965,CO,Male,Other,Divorced,Fully Meets,2,09-05-2023,3,1,2,01-Sep-22,Customer Service,External,Incomplete,5,155.51,55
3475,21-Sep-21,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,25-12-1957,IN,Male,Asian,Widowed,Fully Meets,2,25-01-2023,4,3,4,02-Nov-22,Customer Service,Internal,Passed,2,648.76,64
3476,12-Jun-23,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,20-06-1945,MA,Male,Asian,Divorced,Needs Improvement,2,03-03-2023,5,5,3,18-Nov-22,Leadership Development,Internal,Incomplete,4,533.5,78
3477,07-Apr-19,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,03-12-1969,KY,Female,Asian,Widowed,Needs Improvement,2,05-12-2022,1,2,1,07-Nov-22,Leadership Development,External,Failed,5,429.48,50
3478,17-Sep-18,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,10-10-1957,KY,Female,Hispanic,Married,Fully Meets,2,29-11-2022,3,4,1,05-Oct-22,Technical Skills,External,Incomplete,1,526.74,61
3479,02-Aug-22,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,17-05-1962,TX,Female,Hispanic,Widowed,Fully Meets,2,03-11-2022,4,4,4,18-Jan-23,Communication Skills,Internal,Passed,3,443.45,60
3483,26-Sep-21,Area Sales Manager,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,19-06-1964,CO,Male,Asian,Widowed,Fully Meets,1,23-10-2022,1,4,5,10-Aug-22,Project Management,External,Passed,4,111.96,57
3484,29-Aug-18,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,18-07-1995,CO,Male,Other,Single,Fully Meets,4,16-09-2022,1,2,4,27-Jun-23,Project Management,External,Passed,1,795.7,23
3485,26-Oct-21,Area Sales Manager,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,22-08-1994,CO,Male,White,Widowed,Fully Meets,5,07-05-2023,2,1,3,07-Aug-22,Customer Service,Internal,Passed,2,796.45,27
3486,31-Oct-22,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,14-11-1990,IN,Male,Other,Widowed,Fully Meets,4,27-08-2022,3,1,1,23-Jul-23,Project Management,Internal,Completed,5,812.59,32
3487,15-Mar-23,Area Sales Manager,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,01-02-1994,KY,Female,Other,Divorced,Fully Meets,4,23-09-2022,5,4,1,17-Jul-23,Project Management,External,Completed,5,132.97,29
3488,09-Sep-22,Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,12-11-1997,KY,Female,Asian,Single,Fully Meets,2,11-03-2023,1,5,1,20-Sep-22,Communication Skills,Internal,Completed,1,308.19,25
3489,04-Mar-22,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,02-05-1953,TX,Female,Black,Divorced,Fully Meets,2,03-12-2022,2,4,5,02-Jul-23,Project Management,Internal,Passed,1,131.41,69
3490,11-Feb-19,Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,10-07-1991,TX,Female,Hispanic,Divorced,Fully Meets,2,12-10-2022,5,3,2,19-Jul-23,Technical Skills,Internal,Failed,3,389.59,28
3491,26-Jan-21,Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,02-06-1973,TX,Male,White,Widowed,Fully Meets,5,10-09-2022,3,4,5,14-Jul-23,Project Management,Internal,Incomplete,3,442.56,48
3492,26-Nov-19,Area Sales Manager,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,08-01-1993,CO,Male,Asian,Married,Fully Meets,1,13-01-2023,1,5,5,06-Sep-22,Project Management,Internal,Incomplete,3,327.66,26
3493,15-Jul-19,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,17-04-1984,CO,Male,Asian,Widowed,Fully Meets,5,02-04-2023,3,1,5,19-Feb-23,Project Management,Internal,Completed,3,400.95,35
3494,18-Jun-20,Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,08-02-1994,CO,Male,Black,Single,Fully Meets,4,15-12-2022,1,2,1,11-Feb-23,Technical Skills,Internal,Completed,2,910.45,26
3495,22-Jun-23,Area Sales Manager,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,27-01-1993,IN,Male,Other,Married,Fully Meets,4,08-09-2022,4,3,5,21-Dec-22,Customer Service,External,Passed,1,701.55,30
3496,02-Dec-21,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,19-09-1964,CA,Male,Other,Widowed,Fully Meets,5,26-12-2022,1,3,2,16-Feb-23,Project Management,Internal,Incomplete,1,806.87,57
3497,08-Dec-21,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,18-02-1981,OR,Female,Hispanic,Widowed,Fully Meets,1,18-09-2022,2,3,4,11-Mar-23,Communication Skills,Internal,Completed,2,184.21,40
3498,26-Apr-23,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,17-10-1998,KY,Female,White,Widowed,Fully Meets,2,19-06-2023,3,3,4,30-May-23,Project Management,External,Failed,1,208.43,25
3499,25-Sep-18,Area Sales Manager,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,16-01-1971,KY,Female,Asian,Widowed,Fully Meets,5,21-07-2023,5,3,5,30-Jan-23,Technical Skills,Internal,Incomplete,2,762.45,47
3500,20-Nov-18,Area Sales Manager,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),25-02-2000,TX,Female,White,Divorced,Fully Meets,1,14-05-2023,4,1,4,15-Jun-23,Leadership Development,External,Incomplete,4,779.79,18
3502,01-Oct-19,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,29-06-1976,TX,Male,White,Married,Fully Meets,1,24-04-2023,5,3,5,03-Jan-23,Customer Service,External,Incomplete,3,427.12,43
3503,20-Jan-22,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,27-07-1951,CO,Male,Other,Single,Fully Meets,4,28-01-2023,5,2,3,20-Feb-23,Technical Skills,Internal,Completed,4,996.35,71
3504,10-Oct-21,Area Sales Manager,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,23-08-1980,CO,Male,Hispanic,Married,Fully Meets,2,20-04-2023,3,4,3,02-Jun-23,Communication Skills,Internal,Completed,5,963.23,41
3505,29-Aug-20,Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,24-07-1943,IN,Male,Hispanic,Widowed,Fully Meets,1,10-11-2022,4,3,2,13-Sep-22,Leadership Development,Internal,Failed,5,260.97,77
3506,27-Aug-19,Area Sales Manager,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,06-07-1988,IN,Male,Other,Married,Fully Meets,2,27-06-2023,2,2,3,21-May-23,Leadership Development,Internal,Completed,1,781.81,31
3507,25-Feb-21,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,24-03-1973,CA,Male,White,Single,Fully Meets,4,31-03-2023,2,5,2,25-May-23,Project Management,Internal,Passed,4,651.77,48
3508,13-Jul-21,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,26-05-1942,OR,Male,Asian,Single,Fully Meets,5,17-04-2023,1,5,4,04-Apr-23,Communication Skills,External,Completed,1,568.22,79
3509,14-Apr-21,Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,04-11-1977,KY,Female,Black,Married,Fully Meets,2,03-12-2022,4,5,2,04-Mar-23,Leadership Development,External,Completed,4,612.1,44
3510,10-Feb-20,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,17-10-1956,KY,Female,Hispanic,Married,Fully Meets,2,22-08-2022,2,4,3,27-Oct-22,Technical Skills,External,Completed,4,473.23,64
3511,17-Aug-21,Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,18-02-1997,KY,Female,Asian,Divorced,Fully Meets,4,11-05-2023,5,4,5,07-Apr-23,Technical Skills,Internal,Completed,3,344.44,24
3514,15-Apr-20,Area Sales Manager,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,03-01-1958,TX,Male,Asian,Married,Fully Meets,1,25-08-2022,2,1,1,21-Feb-23,Leadership Development,Internal,Incomplete,3,975.46,62
3516,07-Apr-22,Area Sales Manager,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,25-06-1988,CO,Male,Asian,Divorced,Fully Meets,5,15-11-2022,2,3,5,22-Jun-23,Technical Skills,Internal,Incomplete,1,570.42,34
3517,19-Feb-20,Area Sales Manager,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,04-01-1942,IN,Male,Hispanic,Widowed,Fully Meets,4,01-01-2023,4,1,1,17-Sep-22,Technical Skills,Internal,Failed,3,391.31,78
3518,10-Apr-21,Area Sales Manager,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,24-05-1969,CA,Female,Hispanic,Married,Fully Meets,2,13-05-2023,4,2,5,27-Jun-23,Customer Service,Internal,Completed,3,826.58,52
3519,19-Dec-21,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,28-03-1951,CA,Male,Hispanic,Widowed,Fully Meets,2,10-06-2023,1,3,4,11-Dec-22,Leadership Development,External,Incomplete,4,930.69,70
3520,13-Dec-20,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,01-03-1963,ND,Female,Black,Divorced,Fully Meets,1,17-09-2022,5,1,1,11-Sep-22,Customer Service,External,Incomplete,1,607.93,57
3521,26-Feb-19,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,16-04-1949,KY,Female,Asian,Divorced,Fully Meets,4,19-09-2022,1,3,3,28-Feb-23,Communication Skills,Internal,Incomplete,5,723.5,70
3522,02-Mar-20,Area Sales Manager,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,12-10-1983,KY,Female,Other,Single,Fully Meets,1,14-07-2023,1,5,4,05-May-23,Communication Skills,External,Completed,5,394.04,37
3523,25-Jun-21,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,19-12-1978,KY,Female,Other,Single,Fully Meets,2,27-02-2023,3,2,3,10-Jul-23,Leadership Development,External,Incomplete,2,451.18,43
3526,15-Sep-22,Area Sales Manager,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,30-05-1948,TX,Male,White,Widowed,Fully Meets,4,28-01-2023,1,5,3,15-Oct-22,Customer Service,Internal,Passed,2,360.5,74
3527,01-May-20,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,15-10-1974,CO,Male,Black,Married,Fully Meets,1,27-02-2023,1,3,2,06-Jan-23,Project Management,Internal,Failed,4,396.28,46
3528,13-Oct-22,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,13-12-1991,CO,Male,Hispanic,Widowed,Fully Meets,2,27-05-2023,5,2,2,02-Mar-23,Technical Skills,External,Passed,1,465.96,31
3529,03-Jan-20,Area Sales Manager,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,18-06-1994,IN,Male,Hispanic,Single,Fully Meets,2,15-07-2023,2,3,4,04-Sep-22,Project Management,Internal,Incomplete,1,515.56,26
3530,13-Nov-19,Area Sales Manager,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,16-06-1993,CA,Female,Black,Widowed,Fully Meets,2,27-11-2022,1,2,5,18-Jan-23,Customer Service,External,Passed,2,496.85,26
3531,17-Jun-23,Area Sales Manager,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,18-05-1943,CA,Male,Black,Divorced,Fully Meets,1,24-02-2023,2,4,4,30-Nov-22,Leadership Development,External,Completed,3,629.46,80
3532,14-Oct-21,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,27-11-1966,OR,Female,Black,Widowed,Fully Meets,1,08-10-2022,2,2,5,02-May-23,Technical Skills,Internal,Failed,2,771.61,55
3533,01-Jun-21,Area Sales Manager,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,12-11-1966,ND,Male,White,Married,Fully Meets,2,08-01-2023,2,5,2,11-May-23,Leadership Development,Internal,Completed,4,418.4,55
3534,14-Sep-18,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,16-08-1959,KY,Female,Asian,Single,Fully Meets,4,14-04-2023,4,3,2,21-May-23,Customer Service,Internal,Completed,3,900.96,59
3535,11-Dec-18,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,02-02-1994,KY,Female,Black,Single,Fully Meets,4,01-11-2022,1,5,1,25-Jun-23,Technical Skills,External,Incomplete,1,936.96,24
3536,06-Aug-22,Area Sales Manager,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,02-01-1989,GA,Female,Black,Single,Fully Meets,2,09-10-2022,1,2,4,23-Nov-22,Leadership Development,External,Passed,5,269.03,33
3539,08-Dec-19,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,27-11-1983,CO,Male,Hispanic,Single,Fully Meets,5,06-02-2023,3,3,4,17-Mar-23,Project Management,External,Failed,4,234.77,36
3540,12-Mar-20,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,09-06-1983,CO,Male,White,Widowed,Exceeds,4,25-06-2023,2,2,3,26-Oct-22,Communication Skills,External,Incomplete,2,903.46,37
3541,06-Apr-20,Area Sales Manager,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,27-10-1991,IN,Male,Black,Married,Exceeds,2,28-11-2022,1,3,3,22-May-23,Customer Service,External,Passed,4,380.3,29
3542,15-Apr-23,Area Sales Manager,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,01-03-1948,IN,Male,White,Married,Needs Improvement,1,18-10-2022,2,3,4,22-Aug-22,Project Management,Internal,Failed,4,511.42,75
3543,10-Nov-20,Area Sales Manager,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,18-02-1981,CA,Female,Black,Single,Fully Meets,2,11-02-2023,4,5,5,21-May-23,Communication Skills,External,Passed,4,171.03,39
3544,29-Jun-23,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,16-09-2000,CA,Male,Asian,Single,Fully Meets,2,14-09-2022,3,5,3,02-May-23,Leadership Development,External,Passed,3,842.93,23
3545,07-Mar-22,Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,28-01-1943,OR,Female,Black,Widowed,Fully Meets,1,27-05-2023,2,5,2,04-May-23,Customer Service,External,Incomplete,5,581.12,79
3546,31-Jul-21,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,14-07-1980,ND,Male,Hispanic,Widowed,Exceeds,1,10-05-2023,2,5,5,21-Nov-22,Project Management,External,Passed,4,426.45,41
3547,20-Jan-22,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,25-03-1947,KY,Female,Other,Married,Needs Improvement,2,24-12-2022,2,4,2,24-Apr-23,Technical Skills,External,Failed,4,805.05,75
3548,11-Jul-21,Area Sales Manager,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,25-01-1964,KY,Female,White,Single,Fully Meets,1,06-10-2022,5,5,3,16-Aug-22,Leadership Development,External,Passed,3,368.8,57
3549,15-Oct-18,Area Sales Manager,TNS,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,17-03-1955,GA,Female,Black,Divorced,Fully Meets,2,19-04-2023,1,4,1,02-Nov-22,Communication Skills,External,Failed,5,788.67,63
3551,11-Aug-18,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,04-07-1954,TX,Male,Black,Married,Needs Improvement,4,03-06-2023,4,4,3,27-Oct-22,Communication Skills,External,Incomplete,1,570.13,64
3552,16-Feb-20,Area Sales Manager,PL,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,11-08-1942,CO,Male,White,Single,Needs Improvement,1,14-10-2022,3,4,2,26-Nov-22,Leadership Development,External,Failed,4,480.87,78
3553,20-Jan-20,Area Sales Manager,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,07-05-1949,CO,Male,Black,Divorced,Fully Meets,4,30-10-2022,4,2,4,11-Dec-22,Project Management,Internal,Incomplete,5,689.48,71
3554,31-Mar-19,Area Sales Manager,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,14-10-1958,IN,Male,Asian,Widowed,Fully Meets,1,07-06-2023,2,1,2,05-Jun-23,Project Management,Internal,Completed,4,283.33,61
